Pathway,n_genes,p_val,mean_score,median_score,stat,FDR,Modality
Regulation Of Smooth Muscle Contraction (GO:0006940),20,2.4840716136295183e-21,0.880377780634276,-0.050796008001705,257985.0,6.7492225742314014e-18,score
Regulation Of Muscle Contraction (GO:0006937),29,9.090937337142107e-11,1.4671327342451594,-0.050796008001705,333567.0,1.2350038372507553e-07,score
Heart Process (GO:0003015),16,1.0345393186281012e-05,3.674605217937809,-0.050796008001705,181254.0,0.006712230113485754,score
Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion (GO:0010881),16,1.1385818997713491e-05,0.2400742844887195,-0.050796008001705,181124.0,0.006712230113485754,score
Reticulophagy (GO:0061709),16,1.235228213744158e-05,0.07673415320129193,-0.050796008001705,181013.0,0.006712230113485754,score
Regulation Of Adenylate Cyclase Activity (GO:0045761),17,2.4909221840519416e-05,0.16498270159445383,-0.050796008001705,190503.0,0.011076350331935,score
"Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)",55,2.853678775250092e-05,-0.0021045582983934266,-0.050796008001705,578532.0,0.011076350331935,score
Response To Ethanol (GO:0045471),18,5.5985705551189176e-05,0.10264489446654936,-0.050796008001705,199703.0,0.017034458877334388,score
3'-UTR-mediated mRNA Stabilization (GO:0070935),18,5.928895476213162e-05,-0.02505358070754453,-0.050796008001705,199613.0,0.017034458877334388,score
Positive Regulation Of DNA Replication (GO:0045740),18,6.26958368690997e-05,-0.026954138448828144,-0.050796008001705,199525.0,0.017034458877334388,score
Gastrulation (GO:0007369),19,9.56703439784202e-05,0.05592100130661143,-0.050796008001705,209213.0,0.02363057496266979,score
Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling (GO:0010882),20,0.00013304939201302064,0.18190022599063455,-0.050796008001705,218990.0,0.030124599841614755,score
Skeletal Muscle Organ Development (GO:0060538),34,0.00019989992777795133,0.1689976224485436,-0.050796008001705,361325.0,0.04177908490559183,score
Acetylcholine Receptor Signaling Pathway (GO:0095500),21,0.00022037699179168374,0.12280663866135925,-0.050796008001705,228390.0,0.04276887762128605,score
Positive Regulation Of Translational Initiation (GO:0045948),21,0.00025956111288492266,-0.016062204757883326,-0.050796008001705,228087.0,0.04701516958055566,score
Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880),22,0.00032640434748990374,0.16074602290042186,-0.050796008001705,237917.0,0.05542753825812928,score
Positive Regulation Of Bone Mineralization (GO:0030501),38,0.0006695933054052649,0.010999997843747772,-0.050796008001705,398765.0,0.10231038718293939,score
ATP Biosynthetic Process (GO:0006754),24,0.0006778016081313614,0.397073511408184,-0.050796008001705,256880.0,0.10231038718293939,score
Neuron Migration (GO:0001764),55,0.0007196535207653838,0.01641831617467822,-0.050796008001705,569139.0,0.1029104534694499,score
Negative Regulation Of Neuron Apoptotic Process (GO:0043524),74,0.0009061782317508645,0.124005766625804,-0.050796008001705,757526.0,0.12307277647652941,score
Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120032),75,0.0009512433956595942,0.17988102704327458,-0.050796008001705,767262.0,0.12307277647652941,score
Regulation Of Heart Rate By Cardiac Conduction (GO:0086091),40,0.001064944396921098,0.30995223509660447,-0.050796008001705,417614.0,0.13135009997668715,score
"Chemical Synaptic Transmission, Postsynaptic (GO:0099565)",25,0.001145304385879463,0.0076423722509444255,-0.050796008001705,265904.0,0.13135009997668715,score
Heart Contraction (GO:0060047),41,0.00116025115916102,1.411982587831393,-0.050796008001705,427415.0,0.13135009997668715,score
Positive Regulation Of Ossification (GO:0045778),41,0.0012922009429975597,0.00647833887944635,-0.050796008001705,427100.0,0.1404363984849748,score
Calcium Ion Transmembrane Transport (GO:0070588),80,0.0016132477594805992,0.20909201637133817,-0.050796008001705,814673.0,0.16858439086572263,score
Positive Regulation Of Biomineral Tissue Development (GO:0070169),43,0.001903020806070584,0.0038144157686951243,-0.050796008001705,445985.0,0.1859333869141481,score
Clathrin-Dependent Endocytosis (GO:0072583),27,0.0019746016661560672,0.05894621124172906,-0.050796008001705,284891.0,0.1859333869141481,score
Membrane Repolarization During Action Potential (GO:0086011),14,0.0019845668827789087,0.9197234655996358,-0.050796008001705,152375.0,0.1859333869141481,score
Regulation Of Cardiac Muscle Cell Action Potential (GO:0098901),28,0.0024586740043039588,-0.002600957804188671,-0.050796008001705,294446.0,0.21835425623326002,score
Positive Regulation Of Calcium Ion Transport (GO:0051928),28,0.002491344108660677,0.06763841733973767,-0.050796008001705,294412.0,0.21835425623326002,score
Alpha-Amino Acid Catabolic Process (GO:1901606),29,0.00265434868076353,0.43012480094171157,-0.050796008001705,304340.0,0.2210596620154934,score
Cardiac Conduction (GO:0061337),45,0.002741904143677814,0.2698690969745702,-0.050796008001705,464824.0,0.2210596620154934,score
Regulation Of Neuron Apoptotic Process (GO:0043523),105,0.0027879066148422406,0.07985439460789139,-0.050796008001705,1058592.0,0.2210596620154934,score
Regulation Of Amyloid Fibril Formation (GO:1905906),15,0.0028476585095849353,0.7565818727351468,-0.050796008001705,161980.0,0.2210596620154934,score
Calcium-Mediated Signaling (GO:0019722),85,0.0030307755938770867,0.10080315938390766,-0.050796008001705,861313.0,0.22873936912677903,score
Regulation Of Voltage-Gated Calcium Channel Activity (GO:1901385),29,0.0031235722070213,0.21645646873335206,-0.050796008001705,303907.0,0.22937150503991546,score
Response To Alcohol (GO:0097305),29,0.0032820021379401597,0.04444317284065979,-0.050796008001705,303774.0,0.23205504248571773,score
Negative Regulation Of Immune Effector Process (GO:0002698),15,0.0033309336241969054,0.05583326393672466,-0.050796008001705,161678.0,0.23205504248571773,score
Negative Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901020),30,0.0034653598667559755,0.5162339087486146,-0.050796008001705,313699.0,0.23538456894939963,score
Lysosomal Lumen Acidification (GO:0007042),16,0.004268095633575436,0.3582109597924519,-0.050796008001705,171406.0,0.273126452280473,score
Negative Regulation Of Neuron Death (GO:1901215),88,0.004359475609571221,0.09619639338960934,-0.050796008001705,889175.0,0.273126452280473,score
Response To UV-B (GO:0010224),16,0.004368716963223846,0.20208180901175143,-0.050796008001705,171358.0,0.273126452280473,score
